composition,id,energyperatom
Mn3Nb6O11,icsd_062661,-8.117169
Mn2O4Ti1,icsd_022313,-8.11664510714
La4O22Si4V5,icsd_080263,-8.11432328571
La4O22Si4V5,icsd_079812,-8.114323085710001
La2O3,icsd_184531,-8.111188625
Mn4Nb2O9,icsd_202550,-8.10997556667
Mn4Nb2O9,icsd_029216,-8.1099511
Mn1O4V2,icsd_109148,-8.10842264286
Hf7P4,icsd_405208,-8.10784163636
Mn4Nb2O9,icsd_027133,-8.106089266669999
Cr2O3,icsd_250078,-8.1055467
O3V2,icsd_260212,-8.104987575
C2Y1,icsd_619117,-8.101694
Ba1O13Ti6,icsd_002922,-8.10092355
Hf3P2,icsd_082727,-8.09993975
Ba2Nb15O32,icsd_069991,-8.09866204082
La1O3V1,icsd_028925,-8.0979182
O20Sr1Ti11,icsd_071299,-8.09645140625
La11O26V4,icsd_080519,-8.09634458537
Mo1N1,icsd_159441,-8.095763999999999
C1Nb1,icsd_183164,-8.095727499999999
O3V2,icsd_001871,-8.0934776
O3V2,icsd_064796,-8.0934767
O3V2,icsd_095760,-8.0921354
O3V2,icsd_647636,-8.092132099999999
La2Mn1O6V1,icsd_163761,-8.09028175
Ba1La2O10Ti3,icsd_164868,-8.08824496875
Ba1O10Si3Y2,icsd_240470,-8.0866860625
Ga1O6Y3,icsd_155086,-8.08573565
N4Si3,icsd_097567,-8.08276985714
La2O3,icsd_024693,-8.080908599999999
La2O3,icsd_160220,-8.080812733330001
Ba1O11Ti5,icsd_026174,-8.078952764710001
Ba1Nb10O19Si1,icsd_080591,-8.07776541935
Na1Nb13O33,icsd_024300,-8.07758895745
Ba1Nb8O14,icsd_079976,-8.07568680435
O10Si3Sr1Y2,icsd_167613,-8.07555684375
Hf1Mo2O8,icsd_059998,-8.07530774242
Nb6O16Sr1,icsd_060783,-8.07246426087
Mo1N1,icsd_159438,-8.072106
Ge1Hf1O4,icsd_202080,-8.07036258333
La3N6V2,icsd_098477,-8.069028
C1Mo1,icsd_044987,-8.066419166669997
Al2O12W3,icsd_090937,-8.06380786765
Al2O12W3,icsd_056827,-8.06376310294
Al2O12W3,icsd_164491,-8.063719044119999
Al2O12W3,icsd_073879,-8.06364273529
La1O4V1,icsd_411083,-8.06321441667
Mo1N1,icsd_060168,-8.06296575
Nb4O5,icsd_039595,-8.060704333330001
La3Mo1O7,icsd_247566,-8.06033709091
Ba2O20Ti9,icsd_035582,-8.059819725810003
Nb8O14Sr1,icsd_202674,-8.05881517391
La3Mo1O7,icsd_247567,-8.05832220455
B3Co1W3,icsd_025753,-8.05792942857
Al1O3Y1,icsd_027100,-8.0517991
B2Fe1W2,icsd_043016,-8.051498200000001
Al1O4W1,icsd_004164,-8.04971625
